isrc,path,value,,,,,,
USHR11637258,Anatomy > Rhythm & Time > BPM,*int*,,,,,,
USHR11637258,Anatomy > Rhythm & Time > Meter > Simple,4,,,,,,
USHR11637258,Anatomy > Harmony > Mode,Major,,,,,,
USHR11637258,Anatomy > Arrangement,Voice & Music,,,,,,
USHR11637258,Performance > Ensemble > Ensemble Timbre,Electronic/Synthetic,,,,,,
USHR11637258,Performance > Instrument,Drum Machine,,,,,,
USHR11637258,Anatomy > Rhythm & Time > Tempo > Speed,Medium,,,,,,
USHR11637258,Anatomy > Structure > Dynamic Shape,Dynamic,,,,,,
USHR11637258,Performance > Ensemble > Ensemble Section > Percussion,Has Percussion,,,,,,
USHR11637258,Performance > Ensemble > Ensemble Section > Wind Section,No Winds,,,,,,
USHR11637258,Performance > Ensemble > Ensemble Section > String Section,No Strings,,,,,,
USHR11637258,Performance > Ensemble > Ensemble Section > Choir,No Choir,,,,,,
USHR11637258,Anatomy > Rhythm & Time > Tempo > Persistent Pulse,Steady,,,,,,
USHR11637258,Performance > Voice > Vocal Range,High Vocal Range,,,,,,
USHR11637258,Anatomy > Harmony > Root,C#/Db,,,,,,
USHR11637258,Genre,Electronic,,,,,,
USHR11637258,Energy > Intensity > Medium,Medium-High Intensity,,,,,,
USHR11637258,Energy > Emotion > Positive,Uplifting,,,,,,
USHR11637258,Lyrics > Lyric Theme > Love > Breakup,Lost That Loving Feeling,,,,,,
USHR11637258,Lyrics > Lyric Theme > Love > Breakup,Moving On,,,,,,
USHR11637258,Lyrics > Lyric Theme > Love > Breakup,Lost,,,,,,
USHR11637258,Lyrics > Lyric Theme > Love > Obsession,Can't Get Over,,,,,,
USHR11637258,Lyrics > Lyric Theme > Love > Pain,Heartache,,,,,,
USHR11637258,Lyrics > Lyric Theme > Love > Pain,Unfaithful,,,,,,
USHR11637258,Lyrics > Lyric Theme > Love > Pain,Not My Type,,,,,,
USHR11637258,Lyrics > Lyric Theme > Love > Pain,Farewell,,,,,,
USHR11637258,Lyrics > Lyric Theme > Love > Romantic,We Should Be Together,,,,,,
USHR11637258,Lyrics > Lyric Language > Indo-European,English,,,,,,
USHR11637258,Origin > Applicable Dates > Originally Released Date,*date*,,,,,,
USHR11637258,Genre,Electronic,,,,,,
USHR11637258,Genre > Pop,Modern Pop,,,,,,
USHR11637258,Energy > Intensity > Medium,Medium-High Intensity,,,,,,
USHR11637258,Energy > Sound Color,Bright,,,,,,
USHR11637258,Energy > Sound Color,Full,,,,,,
USHR11637258,Energy > Sound Color,Crisp,,,,,,
USHR11637258,Energy > Sound Color,Mechanical,,,,,,
USHR11637258,Energy > Emotion > Positive,Exciting,,,,,,
USHR11637258,Energy > Emotion > Positive,Uplifting,,,,,,
USHR11637258,Energy > Emotion > Attitude,Dramatic,,,,,,
USHR11637258,Anatomy > Rhythm & Time > Meter > Simple,4,,,,,,
USHR11637258,Anatomy > Rhythm & Time > BPM,*int*,,,,,,
USHR11637258,Anatomy > Rhythm & Time > Tempo > Speed,Medium,,,,,,
USHR11637258,Anatomy > Rhythm & Time > Tempo > Persistent Pulse,Steady,,,,,,
USHR11637258,Anatomy > Rhythm & Time > Beat Placement,On The Beat,,,,,,
USHR11637258,Anatomy > Rhythm & Time > Rhythmic Feel,Pulsating,,,,,,
USHR11637258,Anatomy > Structure > Form,Song Form,,,,,,
USHR11637258,Anatomy > Structure > Dynamic Shape,Dynamic,,,,,,
USHR11637258,Anatomy > Structure > Structural Complexity,Simple Structure,,,,,,
USHR11637258,Anatomy > Harmony > Root,C#/Db,,,,,,
USHR11637258,Anatomy > Harmony > Mode,Major,,,,,,
USHR11637258,Anatomy > Arrangement,Voice & Music,,,,,,
USHR11637258,Application > Playlist > Time > Decade,2010s,,,,,,
USHR11637258,Application > Playlist > Mood,Empowered,,,,,,
USHR11637258,Application > Playlist > Mood,Confident,,,,,,
USHR11637258,Application > Playlist > Mood,Romantic,,,,,,
USHR11637258,Application > Playlist > Mood,Feeling Down,,,,,,
USHR11637258,Application > Playlist > Activity,Break-up,,,,,,
USHR11637258,Application > Playlist > Activity,Dancing,,,,,,
USHR11637258,Application > Playlist > Activity,Karaoke/Sing-Along,,,,,,
USHR11637258,Application > Playlist > Activity,Hanging Out,,,,,,
USHR11637258,Application > Version,Studio Version,,,,,,
USHR11637258,Performance > Instrument,Drum Machine,,,,,,
USHR11637258,Performance > Instrument > Synthesizer > Synthesizer Part,Synth Bass,,,,,,
USHR11637258,Performance > Instrument > Synthesizer > Synthesizer Part,Synth FX,,,,,,
USHR11637258,Performance > Instrument > Synthesizer > Synthesizer Part,Synth Pad,,,,,,
USHR11637258,Performance > Instrument > Synthesizer > Synthesizer Part,Synth Lead,,,,,,
USHR11637258,Performance > Instrument > Instrument Effect,Compression,,,,,,
USHR11637258,Performance > Instrument > Instrument Effect,Reverb,,,,,,
USHR11637258,Performance > Performer > Intensity,Medium,,,,,,
USHR11637258,Performance > Voice > Lead Vocals,Female,,,,,,
USHR11637258,Performance > Voice > Vocal Range > High Vocal Range,Mezzo-soprano Voice,,,,,,
USHR11637258,Performance > Voice > Vocal Range,High Vocal Range,,,,,,
USHR11637258,Performance > Voice > Vocal Effect,Voice Effects,,,,,,
USHR11637258,Performance > Ensemble > Ensemble Section > Wind Section,No Winds,,,,,,
USHR11637258,Performance > Ensemble > Ensemble Section > String Section,No Strings,,,,,,
USHR11637258,Performance > Ensemble > Ensemble Section > Percussion,Has Percussion,,,,,,
USHR11637258,Performance > Ensemble > Ensemble Section > Choir,No Choir,,,,,,
USHR11637258,Performance > Ensemble > Ensemble Timbre,Electronic/Synthetic,,,,,,
USHR11637258,Origin > Relevant Location > North America,United States,,,,,,
USWD10935875,Anatomy > Rhythm & Time > Meter > Simple,4,,,,,,
USWD10935875,Anatomy > Harmony > Root,B,,,,,,
USWD10935875,Anatomy > Harmony > Mode,Major,,,,,,
USWD10935875,Anatomy > Rhythm & Time > BPM,*int*,,,,,,
USWD10935875,Anatomy > Arrangement,Voice & Music,,,,,,
USWD10935875,Performance > Instrument > Guitar,Acoustic Guitar,,,,,,
USWD10935875,Performance > Ensemble > Ensemble Section > Percussion,No Percussion,,,,,,
USWD10935875,Performance > Ensemble > Ensemble Section > Choir,No Choir,,,,,,
USWD10935875,Performance > Ensemble > Ensemble Section > Wind Section,No Winds,,,,,,
USWD10935875,Performance > Ensemble > Ensemble Timbre,Acoustic,,,,,,
USWD10935875,Anatomy > Rhythm & Time > Tempo > Persistent Pulse,Steady,,,,,,
USWD10935875,Performance > Voice > Vocal Range,High Vocal Range,,,,,,
USWD10935875,Lyrics > Lyric Language > Indo-European,English,,,,,,
USWD10935875,Lyrics > Lyric Theme > Family,Family Life,,,,,,
USWD10935875,Lyrics > Lyric Theme > Family > Family Member,Daughter,,,,,,
USWD10935875,Lyrics > Lyric Theme > Family > Family Member,Father,,,,,,
USWD10935875,Lyrics > Lyric Theme > Love > Non-Romantic,Platonic,,,,,,
USWD10935875,Lyrics > Lyric Theme > Feelings > Confidence,Support,,,,,,
USWD10935875,Lyrics > Lyric Theme > Feelings > Confidence,Protect,,,,,,
USWD10935875,Lyrics > Lyric Theme > Feelings > Confidence,Strong,,,,,,
USWD10935875,Lyrics > Lyric Theme > Spiritual > Place,Dream,,,,,,
USWD10935875,Lyrics > Lyric Theme > Feelings > Gratitude,Possibility,,,,,,
USWD10935875,Lyrics > Lyric Theme > Feelings > Gratitude,Connection,,,,,,
USWD10935875,Lyrics > Lyric Theme > Feelings > Gratitude,Comfort,,,,,,
USWD10935875,Lyrics > Lyric Theme > Feelings > Gratitude,Understanding,,,,,,
USWD10935875,Lyrics > Lyric Theme > Feelings > Gratitude,Optimism,,,,,,
USWD10935875,Application > Version,Studio Version,,,,,,
USWD10935875,Anatomy > Rhythm & Time > Meter > Simple,4,,,,,,
USWD10935875,Anatomy > Rhythm & Time > Rhythmic Feel,Simple Feel,,,,,,
USWD10935875,Performance > Voice > Vocal Range > High Vocal Range,Mezzo-soprano Voice,,,,,,
USWD10935875,Performance > Voice > Vocal Range,High Vocal Range,,,,,,
USWD10935875,Performance > Voice > Lead Vocals,Female,,,,,,
USWD10935875,Anatomy > Rhythm & Time > BPM,*int*,,,,,,
USWD10935875,Anatomy > Rhythm & Time > Tempo > Speed,Medium Fast,,,,,,
USWD10935875,Anatomy > Rhythm & Time > Tempo > Persistent Pulse,Steady,,,,,,
USWD10935875,Origin > Relevant Location > North America,United States,,,,,,
USWD10935875,Genre,Pop,,,,,,
USWD10935875,Energy > Emotion > Positive,Sweet,,,,,,
USWD10935875,Application > Playlist > Time > Decade,2000s,,,,,,
USWD10935875,Origin > Applicable Dates > Originally Released Date,*date*,,,,,,
USWD10935875,Performance > Instrument > Guitar,Acoustic Guitar,,,,,,
USWD10935875,Energy > Emotion > Positive,Happy,,,,,,
USWD10935875,Energy > Emotion > Attitude,Sentimental,,,,,,
USWD10935875,Energy > Intensity > Medium,Medium Intensity,,,,,,
USWD10935875,Energy > Sound Color,Light,,,,,,
USWD10935875,Energy > Sound Color,Bright,,,,,,
USWD10935875,Anatomy > Rhythm & Time > Beat Placement,On The Beat,,,,,,
USWD10935875,Anatomy > Structure > Form,Song Form,,,,,,
USWD10935875,Anatomy > Structure > Dynamic Shape,Steady,,,,,,
USWD10935875,Anatomy > Structure > Structural Complexity,Simple Structure,,,,,,
USWD10935875,Anatomy > Arrangement,Voice & Music,,,,,,
USWD10935875,Energy > Sound Color,Crisp,,,,,,
USWD10935875,Anatomy > Harmony > Root,B,,,,,,
USWD10935875,Anatomy > Harmony > Mode,Major,,,,,,
USWD10935875,Performance > Ensemble > Ensemble Section > Choir,No Choir,,,,,,
USWD10935875,Performance > Ensemble > Ensemble Section > Percussion,No Percussion,,,,,,
USWD10935875,Performance > Ensemble > Ensemble Section > String Section,Has Strings,,,,,,
USWD10935875,Performance > Ensemble > Ensemble Section > Wind Section,No Winds,,,,,,
USWD10935875,Performance > Ensemble > Ensemble Timbre,Acoustic,,,,,,
USWD10935875,Performance > Instrument > Strings,Bowed Strings,,,,,,
USWD10935875,Performance > Instrument > Strings > Harp,Concert Harp,,,,,,
USWD10935875,Performance > Instrument > Wind,Flute,,,,,,
USWD10935875,Performance > Instrument > Guitar > Electric Guitar,Pedal Steel Guitar,,,,,,
USWD10935875,Performance > Performer > Intensity,Light,,,,,,
USWD10935875,Performance > Voice > Lead Vocals,Male,,,,,,
USWD10935875,Performance > Voice > Vocal Ensemble > Small Vocal Ensemble,Vocal Duet,,,,,,
USWD10935875,Performance > Voice > Vocal Range,Low Vocal Range,,,,,,
USWD10935875,Performance > Ensemble > Ensemble Configuration,Voice & Accompaniment,,,,,,
USWD10936421,Anatomy > Rhythm & Time > Meter > Compound,6,,,,,,
USWD10936421,Anatomy > Harmony > Root,F,,,,,,
USWD10936421,Anatomy > Harmony > Mode,Major,,,,,,
USWD10936421,Genre,Jazz,,,,,,
USWD10936421,Anatomy > Arrangement,Instrumental,,,,,,
USWD10936421,Performance > Instrument,Piano,,,,,,
