isrc,path,value,,,,,,
USWD10935875,Lyrics > Lyric Language > Indo-European,English,,,,,,
USWD10935875,Lyrics > Lyric Theme > Family,Family Life,,,,,,
USWD10935875,Lyrics > Lyric Theme > Family > Family Member,Daughter,,,,,,
USWD10935875,Lyrics > Lyric Theme > Family > Family Member,Father,,,,,,
USWD10935875,Lyrics > Lyric Theme > Love > Non-Romantic,Platonic,,,,,,
USWD10935875,Lyrics > Lyric Theme > Feelings > Confidence,Support,,,,,,
USWD10935875,Lyrics > Lyric Theme > Feelings > Confidence,Protect,,,,,,
USWD10935875,Lyrics > Lyric Theme > Feelings > Confidence,Strong,,,,,,
USWD10935875,Lyrics > Lyric Theme > Spiritual > Place,Dream,,,,,,
USWD10935875,Lyrics > Lyric Theme > Feelings > Gratitude,Possibility,,,,,,
USWD10935875,Lyrics > Lyric Theme > Feelings > Gratitude,Connection,,,,,,
USWD10935875,Lyrics > Lyric Theme > Feelings > Gratitude,Comfort,,,,,,
USWD10935875,Lyrics > Lyric Theme > Feelings > Gratitude,Understanding,,,,,,
USWD10935875,Lyrics > Lyric Theme > Feelings > Gratitude,Optimism,,,,,,
USWD10935875,Application > Version,Studio Version,,,,,,
USWD10935875,Anatomy > Rhythm & Time > Meter > Simple,4,,,,,,
USWD10935875,Anatomy > Rhythm & Time > Rhythmic Feel,Simple Feel,,,,,,
USWD10935875,Performance > Voice > Vocal Range > High Vocal Range,Mezzo-soprano Voice,,,,,,
USWD10935875,Performance > Voice > Vocal Range,High Vocal Range,,,,,,
USWD10935875,Performance > Voice > Lead Vocals,Female,,,,,,
USWD10935875,Anatomy > Rhythm & Time > BPM,*int*,,,,,,
USWD10935875,Anatomy > Rhythm & Time > Tempo > Speed,Medium Fast,,,,,,
USWD10935875,Anatomy > Rhythm & Time > Tempo > Persistent Pulse,Steady,,,,,,
USWD10935875,Origin > Relevant Location > North America,United States,,,,,,
USWD10935875,Genre,Pop,,,,,,
USWD10935875,Energy > Emotion > Positive,Sweet,,,,,,
USWD10935875,Application > Playlist > Time > Decade,2000s,,,,,,
USWD10935875,Origin > Applicable Dates > Originally Released Date,*date*,,,,,,
USWD10935875,Performance > Instrument > Guitar,Acoustic Guitar,,,,,,
USWD10935875,Energy > Emotion > Positive,Happy,,,,,,
USWD10935875,Energy > Emotion > Attitude,Sentimental,,,,,,
USWD10935875,Energy > Intensity > Medium,Medium Intensity,,,,,,
USWD10935875,Energy > Sound Color,Light,,,,,,
USWD10935875,Energy > Sound Color,Bright,,,,,,
USWD10935875,Anatomy > Rhythm & Time > Beat Placement,On The Beat,,,,,,
USWD10935875,Anatomy > Structure > Form,Song Form,,,,,,
USWD10935875,Anatomy > Structure > Dynamic Shape,Steady,,,,,,
USWD10935875,Anatomy > Structure > Structural Complexity,Simple Structure,,,,,,
USWD10935875,Anatomy > Arrangement,Voice & Music,,,,,,
USWD10935875,Energy > Sound Color,Crisp,,,,,,
USWD10935875,Anatomy > Harmony > Root,B,,,,,,
USWD10935875,Anatomy > Harmony > Mode,Major,,,,,,
USWD10935875,Performance > Ensemble > Ensemble Section > Choir,No Choir,,,,,,
USWD10935875,Performance > Ensemble > Ensemble Section > Percussion,No Percussion,,,,,,
USWD10935875,Performance > Ensemble > Ensemble Section > String Section,Has Strings,,,,,,
USWD10935875,Performance > Ensemble > Ensemble Section > Wind Section,No Winds,,,,,,
USWD10935875,Performance > Ensemble > Ensemble Timbre,Acoustic,,,,,,
USWD10935875,Performance > Instrument > Strings,Bowed Strings,,,,,,
USWD10935875,Performance > Instrument > Strings > Harp,Concert Harp,,,,,,
USWD10935875,Performance > Instrument > Wind,Flute,,,,,,
USWD10935875,Performance > Instrument > Guitar > Electric Guitar,Pedal Steel Guitar,,,,,,
USWD10935875,Performance > Performer > Intensity,Light,,,,,,
USWD10935875,Performance > Voice > Lead Vocals,Male,,,,,,
USWD10935875,Performance > Voice > Vocal Ensemble > Small Vocal Ensemble,Vocal Duet,,,,,,
USWD10935875,Performance > Voice > Vocal Range,Low Vocal Range,,,,,,
USWD10935875,Performance > Ensemble > Ensemble Configuration,Voice & Accompaniment,,,,,,
