isrc,path,value
USHR11536621,Anatomy/Harmony/Mode,Major
USHR11536621,Performance/Ensemble/Ensemble Section/Choir,No Choir
USHR11838412,Performance/Ensemble/Ensemble Timbre,Electronic/Synthetic
USHR11737993,Anatomy/Harmony/Mode,Major
USWD11785324,Anatomy/Rhythm & Time/Tempo,Changing Pulse
USWD11785324,Energy/Sound Color,Warm
USWD11467130,Lyrics/Lyric Theme/Conflict/Shame,Sad
USWD10320942,Performance/Ensemble/Ensemble Section,Choir
USWD10110145,Lyrics/Lyric Theme/Feelings,Intention
USWD10110145,Performance/Instrument/Synthesizer/Synthesizer Part,Synth Strings
USWD10110145,Performance/Voice/Vocal Range/Low Vocal Range,Tenor Voice
USHR11435914,Application/Playlist,Time
USHR11435914,Performance/Voice,Vocal Effect
USWD11992478,Anatomy/Rhythm & Time/Meter,Compound
USWD11992478,Anatomy/Structure/Form,Song Form
USWD11992478,Energy/Intensity/Medium,Medium-High Intensity
USWD11992478,Energy/Sound Color,Full
USWD11992478,Performance/Instrument/Synthesizer/Synthesizer Type,Theremin
USWD11992478,Performance/Voice/Vocal Range,High Vocal Range
USWD10936421,Performance/Voice/Vocal Range,None
USHR11737993,Lyrics/Lyric Theme/Conflict/Shame,Insecure
USHR11737993,Lyrics/Lyric Theme/Time,Human
USHR11334762,Application/Playlist/Activity,Party
USHR11334762,Application/Version,Single Version
USHR11334762,Genre/Pop,Modern Pop
USHR11334762,Origin/Relevant Location,North America
USHR11637258,Anatomy/Rhythm & Time/Tempo/Persistent Pulse,Steady
USHR11637258,Energy/Emotion/Attitude,Dramatic
USHR11637258,Energy/Sound Color,Bright
USHR11637258,Lyrics/Lyric Theme/Love,Breakup
USHR11637258,Lyrics/Lyric Theme/Love/Pain,Heartache
USHR11637258,Performance/Ensemble/Ensemble Section/Percussion,Has Percussion
USHR11637258,Performance/Instrument/Synthesizer/Synthesizer Part,Synth Bass
USHR11637258,Performance/Instrument/Synthesizer/Synthesizer Part,Synth Pad
USWD10935875,Performance/Ensemble/Ensemble Section/Wind Section,No Winds
USHR11737936,Energy/Intensity/Medium,Medium-High Intensity
USHR11737936,Performance/Ensemble/Ensemble Timbre,Electronic/Synthetic
USHR11738188,Anatomy/Rhythm & Time/Tempo,Persistent Pulse
USHR11738188,Energy/Intensity,High
USHR11738188,Performance/Instrument/Guitar,Electric Guitar
USWD11569822,Energy/Sound Color,Light
