isrc,path,value
USUG11903339,Anatomy/Arrangement,Voice & Music
USUG11903339,Anatomy/Harmony/Mode,Major
USUG11903339,Anatomy/Harmony/Root,E
USUG11903339,Anatomy/Rhythm & Time/Beat Placement,On The Beat
USUG11903339,Anatomy/Rhythm & Time/BPM,107.11
USUG11903339,Anatomy/Rhythm & Time/Meter,Simple
USUG11903339,Anatomy/Rhythm & Time/Meter/Simple,4
USUG11903339,Anatomy/Rhythm & Time/Rhythmic Feel,Automated
USUG11903339,Anatomy/Rhythm & Time/Rhythmic Feel,Simple Feel
USUG11903339,Anatomy/Rhythm & Time/Tempo,Persistent Pulse
USUG11903339,Anatomy/Rhythm & Time/Tempo/Persistent Pulse,Steady
USUG11903339,Anatomy/Rhythm & Time/Tempo/Speed,Medium
USUG11903339,Anatomy/Structure/Dynamic Shape,Dynamic
USUG11903339,Anatomy/Structure/Form,Song Form
USUG11903339,Anatomy/Structure/Structural Complexity,Simple Structure
USUG11903339,Application/Playlist,Time
USUG11903339,Application/Playlist,Mood
USUG11903339,Application/Playlist/Mood,Rainy Day
USUG11903339,Application/Playlist/Mood,Dramatic
USUG11903339,Application/Playlist/Time,Decade
USUG11903339,Application/Playlist/Time/Decade,2010s
USUG11903339,Application/Version,Explicit
USUG11903339,Application/Version,Studio Version
USUG11903339,Application/Version,Single Version
USUG11903339,Energy/Emotion,Positive
USUG11903339,Energy/Emotion,Negative
USUG11903339,Energy/Emotion/Attitudes,Dramatic
USUG11903339,Energy/Emotion/Attitudes,Melodramatic
USUG11903339,Energy/Emotion/Negative,Angry
USUG11903339,Energy/Emotion/Positive,Uplifting
USUG11903339,Energy/Intensity,Medium
USUG11903339,Energy/Intensity/Medium,Medium-High Intensity
USUG11903339,Energy/Sound Color,Metallic
USUG11903339,Energy/Sound Color,Mechanical
USUG11903339,Energy/Sound Color,Full
USUG11903339,Genre,Pop
USUG11903339,Genre/Pop,Modern Pop
USUG11903339,Genre/Pop,Alternative Pop
USUG11903339,Genre/Pop/Alternative Pop,Pop Rock
USUG11903339,Lyrics/Lyric Language/Indo-European,English
USUG11903339,Lyrics/Lyric Theme,Conflict
USUG11903339,Lyrics/Lyric Theme,Love
USUG11903339,Lyrics/Lyric Theme/Conflict,Shame
USUG11903339,Lyrics/Lyric Theme/Conflict,Stress
USUG11903339,Lyrics/Lyric Theme/Conflict/Shame,Anxious
USUG11903339,Lyrics/Lyric Theme/Conflict/Shame,Pain
USUG11903339,Lyrics/Lyric Theme/Conflict/Shame,Insecure
USUG11903339,Lyrics/Lyric Theme/Conflict/Shame,Guilt
USUG11903339,Lyrics/Lyric Theme/Conflict/Shame,Failure
USUG11903339,Lyrics/Lyric Theme/Conflict/Stress,Difficult
USUG11903339,Lyrics/Lyric Theme/Conflict/Stress,Burden
